table,owner_column,select_policy,insert_policy,update_policy,delete_policy,anon_grants,authenticated_grants,backend_only,notes
hotel_saved_search,user_id,Users own hotel_saved_search,Users own hotel_saved_search,Users own hotel_saved_search,Users own hotel_saved_search,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Saved hotel searches
hotel_tracked_offer,user_id,Users own hotel_tracked_offer,Users own hotel_tracked_offer,Users own hotel_tracked_offer,Users own hotel_tracked_offer,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Tracked hotel offers
hotel_tracked_offer_lifecycle_event,user_id,Users own hotel_tracked_offer_lifecycle_event,Users own hotel_tracked_offer_lifecycle_event,Users own hotel_tracked_offer_lifecycle_event,Users own hotel_tracked_offer_lifecycle_event,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Tracking lifecycle events
hotel_user_stay_watch,user_id,Users own hotel_user_stay_watch,Users own hotel_user_stay_watch,Users own hotel_user_stay_watch,Users own hotel_user_stay_watch,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User stay watch subscriptions
hotel_watchlist_item,user_id,Users own hotel_watchlist_item,Users own hotel_watchlist_item,Users own hotel_watchlist_item,Users own hotel_watchlist_item,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Hotel watchlist items
idempotency_record,user_id,Users own idempotency_record,Users own idempotency_record,Users own idempotency_record,Users own idempotency_record,NONE,"SELECT, INSERT, UPDATE, DELETE",false,API request idempotency keys
password_reset_token,user_id,Users own password_reset_token,Users own password_reset_token,Users own password_reset_token,Users own password_reset_token,NONE,"SELECT, INSERT, UPDATE, DELETE",true,Legacy password reset tokens (decommissioned)
refresh_token,user_id,Users own refresh_token,Users own refresh_token,Users own refresh_token,Users own refresh_token,NONE,"SELECT, INSERT, UPDATE, DELETE",true,Legacy refresh tokens (dropped in 20260912000003)
security_activity,user_id,Users own security_activity,Users own security_activity,Users own security_activity,Users own security_activity,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Account security event log
suggestion,user_id,Users own suggestion,Users own suggestion,Users own suggestion,Users own suggestion,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User feature suggestions
support_feedback,user_id,Users own support_feedback,Users own support_feedback,Users own support_feedback,Users own support_feedback,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User support feedback tickets
user_note,user_id,Users own user_note,Users own user_note,Users own user_note,Users own user_note,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User notes on flights/routes
user_notification_state,user_id,Users own user_notification_state,Users own user_notification_state,Users own user_notification_state,Users own user_notification_state,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Notification preferences and quiet hours
user_preference,user_id,Users own user_preference,Users own user_preference,Users own user_preference,Users own user_preference,NONE,"SELECT, INSERT, UPDATE, DELETE",false,General search preferences
user_preference_appearance,user_id,Users own user_preference_appearance,Users own user_preference_appearance,Users own user_preference_appearance,Users own user_preference_appearance,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Theme and display preferences
user_preference_region,user_id,Users own user_preference_region,Users own user_preference_region,Users own user_preference_region,Users own user_preference_region,NONE,"SELECT, INSERT, UPDATE, DELETE",false,"Locale, currency, home airport"
user_profile,user_id,Users own user_profile,Users own user_profile,Users own user_profile,Users own user_profile,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Display name and avatar profile
user_session,user_id,Users own user_session,Users own user_session,Users own user_session,Users own user_session,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Active and historical user device sessions
ux_event,user_id,Users own ux_event,Users own ux_event,Users own ux_event,Users own ux_event,NONE,"SELECT, INSERT, UPDATE, DELETE",false,UX and analytics interaction events
